,Name,Original Price,Discounted Price,Ratings,Star Ratings,Discount %
1604,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1605,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1606,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1607,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1608,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1609,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1610,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1611,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1612,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1613,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1614,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1615,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1616,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1617,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1618,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1619,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1620,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1621,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1622,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1623,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1624,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1625,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1626,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1627,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1628,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1629,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1630,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1631,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1632,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1633,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1634,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1635,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1636,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1637,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1638,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1639,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1640,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1641,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1642,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1643,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1644,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1645,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1646,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1647,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1648,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1649,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1650,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1651,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1652,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1653,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1654,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1655,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1656,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1657,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1658,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1659,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1660,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1661,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1662,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1663,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1664,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1665,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1666,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1667,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1668,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1669,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1670,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1671,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1672,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1673,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1674,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1675,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1676,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1677,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1678,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1679,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1680,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1681,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1682,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1683,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1684,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1685,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1686,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1687,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1688,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1689,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1690,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1691,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1692,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1693,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1694,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1695,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1696,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1697,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1698,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1699,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1700,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1701,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1702,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1703,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1704,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1705,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1706,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1707,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1708,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1709,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1710,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1711,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1712,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1713,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1714,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1715,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1716,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1717,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1718,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1719,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1720,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1721,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1722,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1723,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1724,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1725,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1726,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1727,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1728,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1729,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1730,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1731,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1732,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1733,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1734,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1735,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1736,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1737,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1738,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1739,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1740,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1741,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1742,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1743,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1744,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1745,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1746,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1747,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1748,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1749,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1750,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1751,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1752,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1753,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1754,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1755,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1756,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1757,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1758,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1759,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1760,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1761,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1762,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1763,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1764,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1765,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1766,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1767,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1768,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1769,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1770,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1771,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1772,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1773,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1774,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1775,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1776,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1777,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1778,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1779,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
1780,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1781,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
1782,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
1783,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
1784,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
1785,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
1786,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
1787,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
1788,M.A.C Lipstick / Mini,1100,1100,19564,3,0
1789,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
1790,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
1791,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
1792,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
1793,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
1794,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
1795,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
1796,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
1797,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
1798,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
1799,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
